id,input,output
train_1,Vado in bagno. Evacuo il PDL e il Governo Monti che è in me.,ANALOGY
train_2,@user se continui sarò costretto a darti l'oscar,ANALOGY
train_3,Il Governo #Monti è depresso e #laRepubblica sta diventando depressiva.,ANALOGY
train_4,@user quando penso al governo Monti mi viene in mente Longanesi e il suo Ci salveranno le vecchie zie è il caso di rileggerlo?,ANALOGY
train_5,Governo Monti - Napolitano sa tanto di padre che toglie il giocattolo al pupo che sennò rischia di sfasciarlo ... #elezioni #308,ANALOGY
train_6,"Il #governo #Monti arriverà a fine legislatura? #Bossi: Ma siete matti! da che pulpito, infatti siamo noi a credere che esiste la #PADANIA",ANALOGY
train_7,... il progetto di Mario Monti sui giovani è simile a quello di Erode a Betlemme ...,ANALOGY
train_8,Ragazzi a Roma c'è un tempo pessimo. Piove ma come piove. Il clima è in linea con il governo Monti. Lacrime sudore sangue e pure pioggia,ANALOGY
train_9,il mio lavoro e fare male alla gente e invece ... mi sono fatta male io ... xD!,ANALOGY
train_10,“ Vincere non e importante ma e l'unica cosa che conta “ - Gianpiero Boniperti,ANALOGY
train_11,Bersani: « Governo Monti punti al cuore degli italiani ». Il fegato se lo sono rovinati col governo Berlusconi.,ANALOGY
train_12,Berlusca ha problemi di doppia personalità: ha appena smentito (in viva voce) di potere/volere staccare la spina al Governo #Monti.,ANALOGY
train_13,"Ogni città qualche guaio ha "" @user: La manovra del governo #Monti è stata scritta dal Principe Giovanni e dallo sceriffo di Nottingham """,ANALOGY
train_14,": abbiamo voluto la bicicletta (il Governo Monti), ed ora si deve pedalare ...",ANALOGY
train_15,RT @user: ' tipi di persone su twitter ' LA ' STUDIOSA '. Sta su twitter a dire che dovrebbe studiare invece di andare a farlo. http://t .…,ANALOGY
train_16,Rocco Siffredi é arrivato secondo agli Oscar del porno x essersi fatto più donne di tutti ma Mario Monti é arrivato 1mo x essersi in.. tutti,ANALOGY
train_17,nessuno quando ha visto uscire mario monti dall'ufficio del PdR ha avuto la sensazione di vedere un redivivo senatore palpatine?,ANALOGY
train_18,RT @user: Spero sia colite. Ma ho paura sia amore.,ANALOGY
train_19,Mario Monti .... Munnezz #postofisso,ANALOGY
train_20,la #fornero se mette a piagne mentre spiega come la #manovra del governo #MONTI metterà in ginocchio la gente: #lacrimedicoccodrillo,ANALOGY
train_21,Un manifestante #NoTav chiede a Cicchitto cosa farebbe il #PDL se il governo #Monti toccasse le TV di Berlusconi ... KABOOM! #PiazzaPulita,ANALOGY
train_22,RT @user: ' tipi di persone su twitter ' L'INNAMORATA. Lei che trova il fidanzato su twitter. http://t.co/QV6Jqxf6hQ,ANALOGY
train_23,"@user: Pausa in albergo per il senatore a vita, Mario Monti, dopo la colazione di lavoro con Berlusconi. PRANZO PESANTE #finecorsa",ANALOGY
train_24,pieni poteri a Mario Monti. In effetti quale governo può essere più appropriato di un Full Monty x questo paese (ispired by @user),ANALOGY
train_25,Il #Terzopolo sembra l'armata brancaleone. Armiamoci e partite! #governo #monti #oramonti #pdl #pd #udc #idv,ANALOGY
train_26,[ News ] Mario Monti a capo del Governo tecnico? Come avere un marziano a Roma http://t.co/AXBIpvL7,ANALOGY
train_27,"Ornaghi, Cancellieri e Severino. Il Governo #Monti preannunciato dagli studenti. Come i temi della maturità",ANALOGY
train_28,"Su Rete 4 c'è La Stangata. Quella vera, non quella di Mario Monti.",ANALOGY
train_29,Governo Monti crolla sulle liberalizzazioni. Taxisti - Monti 1 - 0. La Lagrimosa Elsa si sgonfia sulle pensioni. Trilateral out.,ANALOGY
train_30,La ministra Severino è Mario Monti con la parrucca.,ANALOGY
train_31,"il governo Monti piace molto a Montezemolo, Confindustria, Goldman Sachs, Bce e Dracula",ANALOGY
train_32,"Mario Monti, avresti potuto trasformare in palazzo questo bordello e invece ti sei limitato a ritruccare le battone che lo affollano.",ANALOGY
train_33,Passera nel governo Monti? E dov' è la novità? Nel governo nanico di passera ce n'era a quintali!,ANALOGY
train_34,@user1 vedo perfino gli occhi del gatto a cuore. Mi sento gravemente malata. @user2 @user3 @user4 @user5,ANALOGY
train_35,"c'é solo una cosa peggiore degli stipendi d'oro della politica; i servizi del #tg5 indignato, come se ci fossero solo col governo #monti.",ANALOGY
train_36,"@user #Grillo sembra la soluzione a chi pensa che "" internet libero per tutti "" sia un ragionevole punto programmatico per un partito.",ANALOGY
train_37,"“ la felicità non ha prezzo “, la mia sì, costa circa 3,50 € e si chiama Nutella. #nonpuoimancare",ANALOGY
train_38,Voi avete qualche notiziuccia fresca sull'armata brancaleone? (governo Monti),ANALOGY
train_39,Avviso ai naviganti del Pdl e del Pd: il governo Monti è la loro zattera. Sono naufraghi è bene che se lo ricordino.,ANALOGY
train_40,Quando vedo Mario Monti sento la musichina di Schindlers' List e mi vien da piangere,ANALOGY
train_41,Il vecchio governo paragonato al governo #monti sembra il cast di un film di lino banfi e Renzo montagnani rispetto ad uno di scorsese,ANALOGY
train_42,governo monti italiani tonti,ANALOGY
train_43,il Partito della Nazione ed i suoi giurassici promotori: la risposta migliore ai detrattori di #Grillo. #sapevatelo #inmanoachistiamo,ANALOGY
train_44,@user #Grillo è anni che non fà più il comico ... loro sono decenni che fanno i buffoni di corte .. :)) con tutti i loro servetti,ANALOGY
train_45,Se le cazzate che escono dal parlamento fossero negoziabili in borsa avremmo risolto il problema del debito pubblico,ANALOGY
train_46,"Il governo Monti: un bel ragazzo che si spaccia per grande seduttore, lasciando poi con l'amaro in bocca dopo una eiaculazione precoce #fb",ANALOGY
train_47,Da ieri sera Mario Monti e' un senatore a vita monotona,ANALOGY
train_48,"Nel Governo Monti, Amato dr sottile e Letta uomo di similaun? Mancano solo Andreotti e Forlani!",ANALOGY
train_49,@user Che bella giornata! Mario Monti vs Checco Zalone.,ANALOGY
train_50,"RT @user: Non ero bella: ero alta, bionda con gli occhi azzurri. PROPRIO ' NA SCHIFEZZA. #succedesolonellefanfiction",ANALOGY
train_51,Dal disastro della nuova Alitalia al governo Monti: come agiscono i Capitani coraggiosi | tiscali. spettacoli http://t.co/3kluviD1,ANALOGY
train_52,@user1 @user2 il governo #Monti é come l'amore: va riconfermato costantemente. Un bel paradosso per il partito dell'amore,ANALOGY
train_53,"più che bipolaristi, gli italiani sono bipolari",ANALOGY
train_54,Il governo #Monti mi ricorda la corazzata kotiokmin,ANALOGY
train_55,"Merkel, Sarkozy, ti sorridono i #Mario Monti ... Merkel, Sarkozy, le caprette ti fanno ciao",ANALOGY
train_56,"Che poi, a guardare bene, l'unica differenza è che #Grillo è delNord, e #Cettolaqualunque del sud. Suv compresi.",ANALOGY
train_57,@user c'è anche Mario Monti Burns :),ANALOGY
train_58,"Casini a #Grillo "" che venga in parlamento a fare i conti con la realtà "" ... ho paura voglia dire che la realtà è ancora peggio ... #m5s",ANALOGY
train_59,"Vi immaginate se stanotte a Mario Monti gli prende un coccolone ma a non muore, si riduce come Bossi? #aeiouy #capodannoitaliano",ANALOGY
train_60,@user già la faccia della tua icon allude ad un pene invisibile #messaggisubliminali,ANALOGY
