id,input,prediction,output,raw_generation
test_132,"Gli amici di Rouhani, per il suo compleanno, gli fanno la sorpresa della ragazza che entra nella torta. [@user]",Output not found,OTHER,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] Gli amici di Rouhani, per il suo compleanno, gli fanno la sorpresa della ragazza che entra nella torta. [@user] [/INPUT] [OUTPUT] Humor or situational irony"
test_20,"dei privati che finanziano le scuole statali non frega niente a nessuno/a? tutti/e a ripetere a pappagallo merito, merito ... #labuonascuola",Output not found,ANALOGY,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] dei privati che finanziano le scuole statali non frega niente a nessuno/a? tutti/e a ripetere a pappagallo merito, merito ... #labuonascuola [/INPUT] [OUTPUT] Rhetorical Question"
test_82,Ma perchè scegliere Mario Monti quando ci sarebbe Chuck Norris?,Output not found,RHETORICAL QUESTION,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] Ma perchè scegliere Mario Monti quando ci sarebbe Chuck Norris? [/INPUT] [OUTPUT] Rhetorical Question"
test_97,la cosa bella del governo Monti è che ha acceso le speranze di tutti ... ... e le spegnerá pure ... #serviziocompleto,Output not found,EX:OXYMORON PARADOX,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] la cosa bella del governo Monti è che ha acceso le speranze di tutti ... ... e le spegnerá pure ... #serviziocompleto [/INPUT] [OUTPUT] Context Shift"
test_57,Chi è entrato nel cellulare di Jennifer Lawrence potrebbe entrare anche nel tuo. E troverebbe sempre le foto della Lawrence. [@user],Output not found,EX:CONTEXT SHIFT,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] Chi è entrato nel cellulare di Jennifer Lawrence potrebbe entrare anche nel tuo. E troverebbe sempre le foto della Lawrence. [@user] [/INPUT] [OUTPUT] Context Shift"
test_13,"Oggi tutti esperti di scuola su Twitter, come di nazionale durante i mondiali #labuonascuola",Output not found,ANALOGY,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] Oggi tutti esperti di scuola su Twitter, come di nazionale durante i mondiali #labuonascuola [/INPUT] [OUTPUT] Context Shift"
test_99,"Non aspettare che il Governo Monti prenda anche i tuoi regali di Natale ... Corri da noi, e potrai trovare IDEE REGALO a partire da 10 € ...",Output not found,EX:OXYMORON PARADOX,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] Non aspettare che il Governo Monti prenda anche i tuoi regali di Natale ... Corri da noi, e potrai trovare IDEE REGALO a partire da 10 € ... [/INPUT] [OUTPUT] Hyperbole"
test_66,La scuola del futuro sarà così : - Elementari fino ai 15 anni - Medie fino ai 25 anni - Superiori fino ai 40 anni #labuonascuola,Output not found,IM:FALSE ASSERTION,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] La scuola del futuro sarà così : - Elementari fino ai 15 anni - Medie fino ai 25 anni - Superiori fino ai 40 anni #labuonascuola [/INPUT] [OUTPUT] Context Shift"
test_67,"Matteo, se vuoi un colloquio chiarificatore sono disponibile nel mio ufficio ad Hogwarts tutti i mercoledì @user #labuonascuola",Output not found,IM:FALSE ASSERTION,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] Matteo, se vuoi un colloquio chiarificatore sono disponibile nel mio ufficio ad Hogwarts tutti i mercoledì @user #labuonascuola [/INPUT] [OUTPUT] Context Shift"
test_19,"La buona scuola per ""Un mondo buono"". Spot da Mulino Bianco. Renzi nei panni di Banderas e gli insegnanti in ... http://t.co/YaljanN4IY",Output not found,ANALOGY,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). The possible rhetorical figures are:
Analogy: Covers analogy, simile, and metaphor. Involves similarity between two things that have different ontological concepts or domains, on which a comparison may be based
Hyperbole: Make a strong impression or emphasize a point
Euphemism: Reduce the facts of an expression or an idea considered unpleasant in order to soften the realit
Rhetorical Question: Ask a question in order to make a point rather than to elicit an answer
Context Shift: A sudden change of the topic/frame, use of exaggerated politeness in a situation where this is inappropriate
False Assertion: A proposition, fact or an assertion fails to make sense against the reality
Oxymoron: Equivalent to “False assertion” except that the contradiction is explicit
Other: Humor or situational irony [/INST] [INPUT] La buona scuola per ""Un mondo buono"". Spot da Mulino Bianco. Renzi nei panni di Banderas e gli insegnanti in ... http://t.co/YaljanN4IY [/INPUT] [OUTPUT] Context Shift"
