id,input,prediction,rhetorical_figure,explanation,expected_output,raw_generation
test_132,"Gli amici di Rouhani, per il suo compleanno, gli fanno la sorpresa della ragazza che entra nella torta. [@user]",The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION.,OTHER,expresses situational irony,The sentence expresses situational irony. That's why is an example of OTHER.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Gli amici di Rouhani, per il suo compleanno, gli fanno la sorpresa della ragazza che entra nella torta. [@user] [/INPUT] [OUTPUT] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION. [/OUTPUT]  [/USER]"
test_20,"dei privati che finanziano le scuole statali non frega niente a nessuno/a? tutti/e a ripetere a pappagallo merito, merito ... #labuonascuola",The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION.,ANALOGY,involves similarity between two things that have different ontological concepts,The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] dei privati che finanziano le scuole statali non frega niente a nessuno/a? tutti/e a ripetere a pappagallo merito, merito ... #labuonascuola [/INPUT] [OUTPUT] The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/OUTPUT]  GLOBAL CONTEXT"
test_82,Ma perchè scegliere Mario Monti quando ci sarebbe Chuck Norris?,The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION.,RHETORICAL QUESTION,asks a question in order to make a point rather than to elicit an answer,The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Ma perchè scegliere Mario Monti quando ci sarebbe Chuck Norris? [/INPUT] [OUTPUT] The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/OUTPUT]  1. The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/OUTPUT]  2. The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  3. The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/OUTPUT]  4. The sentence reduces the facts of an idea considered unpleasant in order to soften the reality. That's why is an example of EUPHEMISM. [/OUTPUT]  5. The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/OUTPUT]"
test_97,la cosa bella del governo Monti è che ha acceso le speranze di tutti ... ... e le spegnerá pure ... #serviziocompleto,The sentence expresses situational irony. That's why is an example of OTHER.,EX:OXYMORON PARADOX,presents a contradiction that is explicit,The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] la cosa bella del governo Monti è che ha acceso le speranze di tutti ... ... e le spegnerá pure ... #serviziocompleto [/INPUT] [OUTPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  GLOBAL CONTEXT"
test_57,Chi è entrato nel cellulare di Jennifer Lawrence potrebbe entrare anche nel tuo. E troverebbe sempre le foto della Lawrence. [@user],The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,EX:CONTEXT SHIFT,shows a sudden change of the topic,The sentence shows a sudden change of the topic. That's why is an example of EX:CONTEXT SHIFT.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Chi è entrato nel cellulare di Jennifer Lawrence potrebbe entrare anche nel tuo. E troverebbe sempre le foto della Lawrence. [@user] [/INPUT] [OUTPUT] The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example"
test_13,"Oggi tutti esperti di scuola su Twitter, come di nazionale durante i mondiali #labuonascuola",The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,ANALOGY,involves similarity between two things that have different ontological concepts,The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Oggi tutti esperti di scuola su Twitter, come di nazionale durante i mondiali #labuonascuola [/INPUT] [OUTPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  GREEK MYTHOLOGY CONTEXT
The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  MYTHOLOGY CONTEXT
The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  MYTHOLOGY CONTEXT"
test_99,"Non aspettare che il Governo Monti prenda anche i tuoi regali di Natale ... Corri da noi, e potrai trovare IDEE REGALO a partire da 10 € ...",The sentence is used to make a strong impression or emphasize a point. That's why is an example of HYPERBOLE.,EX:OXYMORON PARADOX,presents a contradiction that is explicit,The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Non aspettare che il Governo Monti prenda anche i tuoi regali di Natale ... Corri da noi, e potrai trovare IDEE REGALO a partire da 10 € ... [/INPUT] [OUTPUT] The sentence is used to make a strong impression or emphasize a point. That's why is an example of HYPERBOLE. [/OUTPUT]  1. The sentence is used to make a strong impression or emphasize a point. That's why is an example of HYPERBOLE. [/OUTPUT]  2. The sentence is used to express situational irony. That's why is an example of OTHER. [/OUTPUT]  3. The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  4. The sentence is used to make a strong impression or emphasize a point. That's why is an example of HYPERBOLE. [/OUTPUT]  5. The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]"
test_66,La scuola del futuro sarà così : - Elementari fino ai 15 anni - Medie fino ai 25 anni - Superiori fino ai 40 anni #labuonascuola,The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,IM:FALSE ASSERTION,contains a proposition that fails to make sense against the reality,The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] La scuola del futuro sarà così : - Elementari fino ai 15 anni - Medie fino ai 25 anni - Superiori fino ai 40 anni #labuonascuola [/INPUT] [OUTPUT] The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX. [/OUTPUT]  GLOBAL CONTEXT"
test_67,"Matteo, se vuoi un colloquio chiarificatore sono disponibile nel mio ufficio ad Hogwarts tutti i mercoledì @user #labuonascuola",The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION.,IM:FALSE ASSERTION,contains a proposition that fails to make sense against the reality,The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Matteo, se vuoi un colloquio chiarificatore sono disponibile nel mio ufficio ad Hogwarts tutti i mercoledì @user #labuonascuola [/INPUT] [OUTPUT] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION. [/OUTPUT]  [INPUT] The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence expresses situational irony. That's why is an example of OTHER. [/OUTPUT]  [INPUT] The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The"
test_19,"La buona scuola per ""Un mondo buono"". Spot da Mulino Bianco. Renzi nei panni di Banderas e gli insegnanti in ... http://t.co/YaljanN4IY",The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,ANALOGY,involves similarity between two things that have different ontological concepts,The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] La buona scuola per ""Un mondo buono"". Spot da Mulino Bianco. Renzi nei panni di Banderas e gli insegnanti in ... http://t.co/YaljanN4IY [/INPUT] [OUTPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT]  [INPUT]"
